,UNK,han/hans,hun/hendes,accuracy,macro avg,weighted avg
precision,0.02,0.49,0.45,0.44,0.32,0.47
recall,1.0,0.7,0.18,0.44,0.63,0.44
f1-score,0.04,0.57,0.26,0.44,0.29,0.41
support,1.0,337.0,336.0,0.44,674.0,674.0
