,UNK,han/hans,hun/hendes,accuracy,macro avg,weighted avg
precision,0.01,0.48,0.46,0.42,0.32,0.47
recall,1.0,0.67,0.17,0.42,0.61,0.42
f1-score,0.02,0.56,0.25,0.42,0.28,0.4
support,1.0,337.0,336.0,0.42,674.0,674.0
