,stereotypical female,stereotypical male,accuracy,macro avg,weighted avg
precision,0.51,0.52,0.51,0.51,0.51
recall,0.32,0.7,0.51,0.51,0.51
f1-score,0.4,0.59,0.51,0.5,0.5
support,317.0,330.0,0.51,647.0,647.0
