,advokaten,analytikeren,assistenten,bageren,bestyreren,bibliotekaren,bogholderen,bygningsarbejderen,chaufføren,designeren,direktøren,ekspedienten,flyttemanden,frisøren,husholdersken,kokken,kontorassistenten,landmanden,lederen,lægen,læreren,mekanikeren,receptionisten,redaktøren,rengøringsassistenten,revisoren,rådgiveren,sekretæren,skribenten,supervisoren,syersken,sygeplejersken,sælgeren,tømreren,udvikleren,vagten,viceværten,accuracy,macro avg,weighted avg
precision,0.55,0.6,0.61,0.83,0.54,0.67,1.0,0.59,0.56,0.82,0.48,0.8,0.48,0.5,0.25,0.64,0.71,0.5,0.47,0.75,0.79,0.55,0.57,0.81,0.65,0.73,0.6,0.44,0.55,0.58,0.0,0.08,0.41,0.67,0.52,0.69,0.46,0.57,0.58,0.58
recall,0.84,0.83,0.69,0.29,0.87,0.44,0.16,0.84,0.74,0.53,0.82,0.44,0.53,0.22,0.06,0.5,0.67,0.61,0.89,0.83,0.61,0.89,0.67,0.76,0.72,0.47,0.33,0.44,0.33,0.78,0.0,0.06,0.53,0.62,0.74,0.69,0.68,0.57,0.57,0.57
f1-score,0.67,0.7,0.65,0.43,0.67,0.53,0.27,0.7,0.64,0.64,0.61,0.57,0.5,0.31,0.1,0.56,0.69,0.55,0.62,0.79,0.69,0.68,0.62,0.79,0.68,0.57,0.43,0.44,0.41,0.67,0.0,0.07,0.46,0.65,0.61,0.69,0.55,0.57,0.55,0.55
support,19.0,18.0,16.0,17.0,15.0,18.0,19.0,19.0,19.0,17.0,17.0,18.0,19.0,18.0,17.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,17.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,19.0,16.0,19.0,0.57,657.0,657.0
