,stereotypical female,stereotypical male,accuracy,macro avg,weighted avg
precision,0.62,0.55,0.57,0.58,0.58
recall,0.41,0.74,0.57,0.58,0.57
f1-score,0.5,0.63,0.57,0.56,0.56
support,335.0,322.0,0.57,657.0,657.0
